,dia,Net_Revenue_IN_2024,Net_Revenue_IN_2025
271,220,1844.3387699653103,1908.9940331752382
272,221,2018.290103865947,2217.930052053587
273,222,1468.0944766491293,1550.2241039392788
274,223,1348.7196246273334,1526.051702731857
275,224,658.4403475757282,674.9511484143043
276,225,2413.5508176476947,2114.9820052845052
277,226,2286.0779072770597,1815.5566113516365
278,227,2103.7629126797683,1558.5766211742666
279,228,1350.3580934157558,1383.978437826597
280,229,1380.905740799423,1509.9731958004077
281,230,2524.498355328781,2521.3464172523095
282,231,2280.2146525074404,2512.765150209945
283,232,2849.3056544964365,2744.0074966277484
284,233,800.7028853190303,750.8124000828739
285,234,1738.973692570905,1675.5350523550237
286,235,1506.9353480779575,1922.1465374725067
287,236,1501.5950838722388,1570.2081622221594
288,237,1741.217049628679,1809.4908471650056
289,238,1628.528063652036,1730.4974701879776
290,239,1996.6643546228258,2099.0600900461013
291,240,1546.6031857258204,1511.0924502904754
292,241,2003.437192387186,1857.2762263633517
293,242,565.5862841300341,499.38575223367394
294,243,1206.4974864398143,1197.1491152512142
295,244,1259.7572570752832,1266.3559343029897
296,245,2227.785742364374,2230.230768600619
297,246,2149.004215928231,2134.783775464177
298,247,1035.2497401992443,1007.2082507868031
299,248,1522.57147408409,1586.8416966975442
300,249,1345.0390475909276,1388.0107299923247
301,250,2916.93472885886,2742.890170777084
302,251,2744.2480165111465,2932.8596868958502
303,252,2494.413937961218,1914.1967498231406
304,253,1747.0721128162497,1465.342444010958
305,254,752.3164402983064,824.1260606036188
306,255,1204.1539117304865,1266.3025641716567
307,256,1532.1360808130999,1475.6448067863234
308,257,995.1389675281065,1027.5889040171703
309,258,1930.6952914697138,1631.1393449356324
310,259,1706.6539661869679,1172.3815708145066
311,260,1524.050859578018,996.1148284856314
312,262,1753.3444042452475,1821.1927501197529
313,263,1515.085652697419,1398.0142095857238
314,264,2084.436488961748,1922.1148625999592
315,265,1583.5671489037231,1519.3855083055341
316,266,2057.860820004229,1800.1996239556638
317,267,1361.7902840890333,1401.366060734148
0,307,318.3524309430726,324.9002440823226
1,308,318.3524309430726,324.21664999184486
2,309,318.3524309430726,324.21664999184486
3,310,318.3524309430726,324.21664999184486
4,312,318.3524309430726,323.3813469984822
5,313,318.3524309430726,324.21664999184486
6,314,318.3524309430726,324.21664999184486
7,315,318.3524309430726,324.21664999184486
8,316,318.3524309430726,324.21664999184486
9,317,318.3524309430726,324.21664999184486
10,324,318.3524309430726,324.21664999184486
11,325,318.3524309430726,324.21664999184486
12,326,318.3524309430726,324.21664999184486
13,327,355.98865172355204,324.1827783014629
14,328,1918.821868099797,1995.0954513227716
15,329,682.5044165572992,527.6866955679786
16,330,1024.4013229891177,1003.8567564889989
17,331,1032.9612392825302,1120.330026964327
18,332,1204.9310056116572,1196.9214416702498
19,333,1333.319148435121,1332.1969052860554
20,334,1304.581649809712,1304.2199621477162
21,335,1223.4324453643037,1290.353212817281
22,336,1233.7629565748398,1250.7200080542668
23,337,762.8489009676443,692.3074810102883
24,338,591.2342617439735,868.287675332473
25,339,1289.1564296263946,1260.7886279040729
26,340,429.97677711637715,418.96050640389154
27,341,145.80956530591834,271.48250054885887
28,342,351.49964137831466,333.435142432092
29,343,1158.1256047951697,1283.0355868116794
30,344,813.4394899921248,809.7822262819175
31,345,104.76724022185465,47.17908824472988
32,346,253.23642859207803,156.31165959159114
33,347,769.1301767457935,781.0048898586608
34,348,837.8513706933475,843.0202456772247
35,349,106.45145699242687,151.75401016788283
36,350,278.1306559392584,164.25788866894538
37,351,667.2486694372376,680.5737862622645
38,352,803.3609869310127,766.2258801162741
39,353,115.75070903891049,39.56827847059094
40,354,409.05960347223277,553.7319002860163
41,355,468.17596138062186,549.0243419373572
42,356,334.7956261993347,348.3136041968835
43,357,370.7682713402935,402.670001982759
44,358,338.442620759947,546.596756721032
45,359,212.32835046953426,127.25419302436933
46,360,442.8982487354109,416.538879045011
47,361,767.2270901440736,676.7390484051034
48,362,67.06972326604432,261.29964901454343
49,363,555.3900705130013,547.0979192682075
50,364,-1.0888909169640328,95.2143452239884
51,365,14.635930378936223,115.41009346670876
